fid,link_id,from_node_id,to_node_id,length_km,from_station_id,to_station_id,count,two_way
1,1,2,341,1.068246,"800",,"1068",1
2,2,3,65,1.430029,"770","4423","131",1
3,3,5,269,3.498224,"561",,"790",1
4,4,6,198,0.542843,"4405",,"497",1
5,5,11,155,0.529097,"4027",,"1690",1
6,6,13,132,0.12397,"60",,"14051",0
7,7,17,110,1.464839,,"341","484",1
8,8,23,87,3.68606,,"310","3511",1
9,9,24,312,2.689806,"300",,"4158",1
10,10,25,46,0.957624,,"563",,1
11,11,25,257,0.242067,,,,1
12,12,26,55,0.773734,,4414-1,"1068",1
13,13,26,303,0.405056,,,,1
14,14,27,74,0.484069,,"1112","563",1
15,15,29,131,0.046914,,,,1
16,16,31,225,0.016988,,,,0
17,17,30,88,1.84633,,"320","789",1
18,18,28,67,0.994347,,"4412","174",1
19,19,21,322,0.334894,,,"1996",1
20,20,21,230,0.190331,,,,0
21,21,32,281,7.450296,504-1,,"6715",0
22,22,34,275,4.091305,502-1,,"14101",0
23,23,35,147,0.921268,112-1,,"10535",0
24,24,36,116,2.282481,,"70","11325",0
25,25,38,254,0.307785,"760",,,1
26,26,39,331,1.071585,"4422",,"198",1
27,27,40,38,1.819838,"761","760","891",1
28,28,41,260,3.548343,"820",,,1
29,29,42,260,0.340398,821-1,,"2135",0
30,30,43,268,0.41626,"821",,,0
31,31,44,288,0.195722,503-1,,,0
32,32,45,263,0.918862,"564",,"768",1
33,33,46,262,0.592187,"563",,"306",1
34,34,47,263,0.183606,"560",,,1
35,35,48,25,0.370882,"562",,"1104",1
36,36,49,332,0.633536,"4420",,,1
37,37,50,255,5.618243,"503",,"14654",0
38,38,51,245,1.085859,"1123",,"1725",1
39,39,52,336,1.648886,"4413",,"280",1
40,40,53,243,0.367033,"1120",,"3275",1
41,41,54,247,2.705464,"101",,,1
42,42,55,59,1.714872,4414-1,4414-2,"210",1
43,43,57,287,0.034234,"830",,,1
44,44,58,335,0.356382,"4418",,,1
45,45,59,337,0.202379,4414-2,,,1
46,46,60,258,0.57264,102-1,,,0
47,47,61,280,0.570811,"102",,"7858",0
48,48,62,334,1.106748,"4416",,,1
49,49,63,333,0.355804,4415-2,,,1
50,50,64,63,1.084874,4415-1,4415-2,"292",1
51,51,69,305,0.346718,"1122",,"297",1
52,52,70,306,0.81664,100-1,,"11272",0
53,53,71,235,0.499669,"1121",,"162",1
54,54,72,186,0.673492,844-1,,,0
55,55,73,201,1.861473,"1110",,"1700",1
56,56,74,252,6.741554,"1112",,,1
57,57,75,192,0.555934,"1111",,"879",1
58,58,76,193,1.318029,"4409",,"274",1
59,59,77,190,0.605905,"4410",,"74",1
60,60,78,80,3.261679,"842","1181","345",1
61,61,79,310,0.921839,115-1,,,0
62,62,80,8,2.399776,"1181","1180","4028",1
63,63,81,232,1.673047,"100",,,0
64,64,83,169,3.844362,"115",,"5289",0
65,65,84,201,2.966036,"4407",,"435",1
66,66,85,191,1.551624,"4408",,"287",1
67,67,86,37,2.481271,"844",,"11603",0
68,68,87,202,2.08845,"310",,,1
69,69,88,229,6.289094,"320",,,1
70,70,89,208,0.572082,"118",,,1
71,71,90,91,0.585097,"117","111","10196",1
72,72,91,324,0.519096,"111",,,1
73,73,92,212,0.935676,"330",,"1065",1
74,74,93,217,0.853279,"1051",,,1
75,75,94,323,2.056683,"4404",,"309",1
76,76,95,313,0.049489,302-1,,,1
77,77,96,312,0.652263,"302",,"2230",1
78,78,97,127,1.035135,"4016",,,1
79,79,98,325,0.509037,113-1,,"7849",0
80,80,99,171,1.432361,"113",,,0
81,81,101,174,2.313876,"4401",,"129",1
82,82,102,168,0.665284,116-1,,,0
83,83,103,20,6.160853,"116",,"9127",0
84,84,104,19,0.419081,,"1050","2888",1
85,85,105,146,2.750327,"345",,,1
86,86,107,145,0.797639,"346",,,1
87,87,108,153,0.364607,"340",,,1
88,88,109,12,0.738251,"339",,,1
89,89,110,160,1.223413,"341",,,1
90,90,111,16,2.297174,70-1,,"10884",0
91,91,112,151,0.284992,"4001",,,1
92,92,113,162,0.252866,"63",,"5257",1
93,93,113,13,0.745067,"63","60",,0
94,94,114,12,0.225851,"347",,"1249",1
95,95,115,140,0.285781,"62",,,0
96,96,116,13,0.845585,"70","60",,0
97,97,117,22,4.689938,"410","411","480",1
98,98,119,222,2.350161,"4023",,"181",1
99,99,120,223,0.626815,"4026",,"86",1
100,100,121,225,0.572331,"4025",,"164",1
101,101,122,221,1.118375,"451",,,1
102,102,123,230,0.747412,"450",,,1
103,103,124,228,1.277646,"4021",,"384",1
104,104,125,124,0.836865,"4022","4021","173",1
105,105,126,75,6.018887,"301","1111",,1
106,106,127,174,0.346978,,,,0
107,107,128,183,0.18351,,,,1
108,108,128,129,0.104829,,,,1
109,109,129,183,0.23971,,,,1
110,110,130,111,0.713524,60-1,70-1,,0
111,111,130,113,0.434187,60-1,"63",,0
112,112,131,109,0.724287,,"339","3661",1
113,113,134,135,0.026189,,,,0
114,114,134,136,0.009643,,,,0
115,115,135,151,0.026619,,,,0
116,116,136,150,0.019981,,,,0
117,117,136,137,0.165502,,,,0
118,118,137,115,0.287121,,"62",,0
119,119,137,173,0.160545,,,,0
120,120,138,142,0.074939,,,,0
121,121,139,138,0.031347,,,,0
122,122,139,14,0.789225,,4001-1,"4436",1
123,123,140,141,0.151374,,,,0
124,124,140,173,0.157947,,,,0
125,125,141,139,0.025605,,,,0
126,126,142,149,0.61988,,,,0
127,127,142,182,0.057109,,,,0
128,128,143,134,0.048981,,,,0
129,129,143,135,0.047381,,,,0
130,130,144,108,1.622027,,"340","1623",1
131,131,144,29,0.020139,,,,1
132,132,144,155,0.037008,,,,0
133,133,145,106,3.506481,,"4011","237",1
134,134,145,105,5.123341,,"345","865",1
135,135,146,18,3.733395,,"951","731",1
136,136,146,128,0.313111,,,,1
137,137,147,148,0.289996,,,,0
138,138,147,167,0.276849,,,,0
139,139,148,167,0.190552,,,,0
140,140,149,143,0.610632,,,,0
141,141,149,180,0.315406,,,,1
142,142,150,137,0.175995,,,,0
143,143,151,150,0.034994,,,,0
144,144,152,9,0.718683,,"112","10250",0
145,145,153,107,1.013737,,"346","1318",1
146,146,153,10,0.912627,,"4010","178",1
147,147,155,131,0.063791,,,,0
148,148,156,157,0.023939,,,,0
149,149,156,114,0.391743,,"347",,1
150,150,157,158,0.022528,,,,0
151,151,157,159,0.01733,,,,0
152,152,158,159,0.021595,,,,0
153,153,158,115,0.791187,,"62","5002",1
154,154,159,160,0.023383,,,,0
155,155,159,161,0.020924,,,,0
156,156,160,161,0.023531,,,,0
157,157,161,162,0.020229,,,,0
158,158,161,163,0.01747,,,,0
159,159,162,163,0.023864,,,,0
160,160,163,156,0.02466,,,,0
161,161,163,157,0.018165,,,,0
162,162,164,130,0.238799,,60-1,"13415",0
163,163,165,79,3.24417,,115-1,"5770",0
164,164,166,152,0.60752,,,,0
165,165,167,98,1.452989,,113-1,,0
166,166,168,165,0.645879,,,,0
167,167,168,170,0.524244,,,,0
168,168,169,103,0.68517,,"116",,0
169,169,170,166,0.250406,,,,0
170,170,170,165,0.388295,,,,0
171,171,170,169,0.865887,,,,0
172,172,171,152,0.47752,,,,0
173,173,171,177,0.427826,,,,0
174,174,172,199,1.622804,,,"1009",0
175,175,173,141,0.024631,,,,0
176,176,173,136,0.01562,,,,0
177,177,173,176,0.01064,,,,0
178,178,173,184,0.010501,,,,0
179,179,174,166,0.131201,,,,0
180,180,176,138,0.010826,,,,0
181,181,177,330,0.175358,,,,0
182,182,177,181,0.196988,,,,0
183,183,180,112,0.863506,,"4001","715",1
184,184,180,15,0.640627,,"353","9003",1
185,185,181,330,0.064406,,,,0
186,186,181,148,0.041764,,,,0
187,187,182,136,0.008424,,,,0
188,188,182,134,0.003539,,,,0
189,189,182,184,0.011415,,,,0
190,190,183,104,0.424725,,,,1
191,191,184,142,0.061565,,,,0
192,192,184,176,0.010655,,,,0
193,193,185,86,0.531017,,"844",,0
194,194,186,187,0.292047,,,,0
195,195,186,195,0.635873,,,,0
196,196,187,200,0.267397,,,,1
197,197,188,185,0.442618,,,,0
198,198,188,189,0.298795,,,,0
199,199,189,185,0.286989,,,,0
200,200,190,76,0.516838,,"4409",,1
201,201,191,73,0.975362,,"1110",,1
202,202,192,193,0.04406,,,,1
203,203,193,191,0.301005,,,,1
204,204,195,307,1.609552,,,,0
205,205,196,126,0.543263,,"301","367",1
206,206,196,95,0.295414,,302-1,"2229",1
207,207,197,195,0.483961,,,,0
208,208,197,187,0.12266,,,,1
209,209,198,309,0.716277,,,,0
210,210,199,83,0.981111,,"115",,0
211,211,200,189,0.010484,,,,1
212,212,200,82,0.774689,,"4406","255",1
213,213,201,197,1.174661,,,,1
214,214,202,320,0.06913,,,,0
215,215,203,324,0.849997,,,,0
216,216,204,203,0.125203,,,,0
217,217,204,211,0.02556,,,,0
218,218,204,205,0.112645,,,,0
219,219,205,210,1.318058,,,,0
220,220,206,219,0.515361,,,,0
221,221,207,204,0.108784,,,,0
222,222,207,211,0.119546,,,,0
223,223,208,90,0.127611,,"117","8823",1
224,224,208,30,0.513424,,,,1
225,225,209,99,0.526347,,"113","7932",0
226,226,210,209,0.62063,,,,0
227,227,210,218,0.238519,,,,0
228,228,211,204,0.026482,,,,0
229,229,211,92,1.04208,,"330",,1
230,230,211,203,0.13468,,,,0
231,231,212,214,0.093723,,,,0
232,232,213,212,0.101785,,,,0
233,233,213,214,0.147951,,,,1
234,234,213,129,1.959138,,,,1
235,235,214,93,1.341721,,"1051","2754",1
236,236,215,206,0.122919,,,,0
237,237,215,326,0.329645,,,,0
238,238,216,97,1.075912,,"4016","392",1
239,239,216,217,0.117134,,,,0
240,240,217,215,0.123197,,,,0
241,241,218,327,0.093918,,,,0
242,242,218,328,0.254483,,,,0
243,243,219,209,0.192573,,,,0
244,244,221,220,0.525899,,,,1
245,245,221,124,2.963143,,"4021",,1
246,246,222,227,0.141697,,,,1
247,247,222,118,1.600222,,"4024","138",1
248,248,223,339,1.684377,,,,1
249,249,223,121,2.286874,,"4025",,1
250,250,224,31,0.003467,,,,0
251,251,224,226,0.367912,,,,1
252,252,225,224,0.013797,,,,0
253,253,226,123,1.374566,,"450","1825",1
254,254,227,226,0.94895,,,,1
255,255,228,227,0.72587,,,,1
256,256,229,117,1.100987,,"410","217",1
