fid,node_id,is_zone,zone_type,is_count,station_id,Cluster_1,layer,path
1,1,1,external,1,"502",1,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
2,2,1,external,1,"800",1,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
3,3,1,external,1,"770",,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
4,4,1,external,1,"504",2,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
5,5,1,external,1,"561",2,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
6,6,1,external,1,"4405",,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
8,8,1,external,1,"1180",3,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
9,9,1,external,1,"112",3,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
10,10,1,external,1,"4010",,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
11,11,1,external,1,"4027",4,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
12,12,1,external,0,,4,External Internal Stations Gorbeialdea,B:/QGIS Files Gorbeialdea/External Internal Stations Gorbeialdea.gpkg|layername=External Internal Stations Gorbeialdea
