link_id,from_node_id,to_node_id,direction,observed_count,estimated_count,residual,two_way
1,2,341,forward,534.0,860.8,-326.8,1
1,341,2,reverse,534.0,860.8,-326.8,1
2,3,65,forward,65.5,0.0,65.5,1
2,65,3,reverse,65.5,0.0,65.5,1
3,5,269,forward,395.0,477.05,-82.05,1
3,269,5,reverse,395.0,477.05,-82.05,1
4,6,198,forward,248.5,0.0,248.5,1
4,198,6,reverse,248.5,0.0,248.5,1
5,11,155,forward,845.0,841.52,3.48,1
5,155,11,reverse,845.0,841.52,3.48,1
6,13,132,forward,14051.0,13328.22,722.78,0
7,17,110,forward,242.0,250.53,-8.53,1
7,110,17,reverse,242.0,250.53,-8.53,1
8,23,87,forward,1755.5,1754.68,0.82,1
8,87,23,reverse,1755.5,1754.68,0.82,1
9,24,312,forward,2079.0,1596.85,482.15,1
9,312,24,reverse,2079.0,1596.85,482.15,1
12,26,55,forward,534.0,0.0,534.0,1
12,55,26,reverse,534.0,0.0,534.0,1
14,27,74,forward,281.5,0.0,281.5,1
14,74,27,reverse,281.5,0.0,281.5,1
17,30,88,forward,394.5,404.88,-10.38,1
17,88,30,reverse,394.5,404.88,-10.38,1
18,28,67,forward,87.0,0.0,87.0,1
18,67,28,reverse,87.0,0.0,87.0,1
19,21,322,forward,998.0,953.82,44.18,1
19,322,21,reverse,998.0,953.82,44.18,1
21,32,281,forward,6715.0,6408.26,306.74,0
22,34,275,forward,14101.0,13057.27,1043.73,0
23,35,147,forward,10535.0,7431.07,3103.93,0
24,36,116,forward,11325.0,11737.92,-412.92,0
26,39,331,forward,99.0,0.0,99.0,1
26,331,39,reverse,99.0,0.0,99.0,1
27,40,38,forward,445.5,622.75,-177.25,1
27,38,40,reverse,445.5,622.75,-177.25,1
29,42,260,forward,2135.0,430.36,1704.64,0
32,45,263,forward,384.0,622.75,-238.75,1
32,263,45,reverse,384.0,622.75,-238.75,1
33,46,262,forward,153.0,0.0,153.0,1
33,262,46,reverse,153.0,0.0,153.0,1
35,48,25,forward,552.0,477.05,74.95,1
35,25,48,reverse,552.0,477.05,74.95,1
37,50,255,forward,14654.0,12903.23,1750.77,0
38,51,245,forward,862.5,2274.3,-1411.8,1
38,245,51,reverse,862.5,2274.3,-1411.8,1
39,52,336,forward,140.0,0.0,140.0,1
39,336,52,reverse,140.0,0.0,140.0,1
40,53,243,forward,1637.5,5651.16,-4013.66,1
40,243,53,reverse,1637.5,5651.16,-4013.66,1
42,55,59,forward,105.0,0.0,105.0,1
42,59,55,reverse,105.0,0.0,105.0,1
47,61,280,forward,7858.0,8514.87,-656.87,0
50,64,63,forward,146.0,0.0,146.0,1
50,63,64,reverse,146.0,0.0,146.0,1
51,69,305,forward,148.5,1378.12,-1229.62,1
51,305,69,reverse,148.5,1378.12,-1229.62,1
52,70,306,forward,11272.0,5651.16,5620.84,0
53,71,235,forward,81.0,0.0,81.0,1
53,235,71,reverse,81.0,0.0,81.0,1
55,73,201,forward,850.0,2078.12,-1228.12,1
55,201,73,reverse,850.0,2078.12,-1228.12,1
57,75,192,forward,439.5,585.99,-146.49,1
57,192,75,reverse,439.5,585.99,-146.49,1
58,76,193,forward,137.0,0.0,137.0,1
58,193,76,reverse,137.0,0.0,137.0,1
59,77,190,forward,37.0,0.0,37.0,1
59,190,77,reverse,37.0,0.0,37.0,1
60,78,80,forward,172.5,1220.24,-1047.74,1
60,80,78,reverse,172.5,1220.24,-1047.74,1
62,80,8,forward,2014.0,1220.24,793.76,1
62,8,80,reverse,2014.0,1220.24,793.76,1
