link_id,from_node_id,to_node_id,direction,observed_count,estimated_count,residual,two_way
1,2,341,forward,534.0,783.47,-249.47,1
1,341,2,reverse,534.0,783.47,-249.47,1
2,3,65,forward,65.5,0.0,65.5,1
2,65,3,reverse,65.5,0.0,65.5,1
3,5,269,forward,395.0,462.64,-67.64,1
3,269,5,reverse,395.0,462.64,-67.64,1
4,6,198,forward,248.5,307.4,-58.9,1
4,198,6,reverse,248.5,307.4,-58.9,1
5,11,155,forward,845.0,845.0,0.0,1
5,155,11,reverse,845.0,845.0,0.0,1
6,13,132,forward,14051.0,13109.23,941.77,0
7,17,110,forward,242.0,238.77,3.23,1
7,110,17,reverse,242.0,238.77,3.23,1
8,23,87,forward,1755.5,1843.28,-87.78,1
8,87,23,reverse,1755.5,1843.28,-87.78,1
9,24,312,forward,2079.0,1433.78,645.22,1
9,312,24,reverse,2079.0,1433.78,645.22,1
12,26,55,forward,534.0,0.0,534.0,1
12,55,26,reverse,534.0,0.0,534.0,1
14,27,74,forward,281.5,62.98,218.52,1
14,74,27,reverse,281.5,62.98,218.52,1
17,30,88,forward,394.5,394.39,0.11,1
17,88,30,reverse,394.5,394.39,0.11,1
18,28,67,forward,87.0,0.0,87.0,1
18,67,28,reverse,87.0,0.0,87.0,1
19,21,322,forward,998.0,877.95,120.05,1
19,322,21,reverse,998.0,877.95,120.05,1
21,32,281,forward,6715.0,6283.79,431.21,0
22,34,275,forward,14101.0,10549.71,3551.29,0
23,35,147,forward,10535.0,4399.9,6135.1,0
24,36,116,forward,11325.0,11724.74,-399.74,0
26,39,331,forward,99.0,0.0,99.0,1
26,331,39,reverse,99.0,0.0,99.0,1
27,40,38,forward,445.5,503.51,-58.01,1
27,38,40,reverse,445.5,503.51,-58.01,1
29,42,260,forward,2135.0,964.22,1170.78,0
32,45,263,forward,384.0,365.37,18.63,1
32,263,45,reverse,384.0,365.37,18.63,1
33,46,262,forward,153.0,138.14,14.86,1
33,262,46,reverse,153.0,138.14,14.86,1
35,48,25,forward,552.0,462.64,89.36,1
35,25,48,reverse,552.0,462.64,89.36,1
37,50,255,forward,14654.0,9880.59,4773.41,0
38,51,245,forward,862.5,934.79,-72.29,1
38,245,51,reverse,862.5,934.79,-72.29,1
39,52,336,forward,140.0,0.0,140.0,1
39,336,52,reverse,140.0,0.0,140.0,1
40,53,243,forward,1637.5,7165.46,-5527.96,1
40,243,53,reverse,1637.5,7165.46,-5527.96,1
42,55,59,forward,105.0,0.0,105.0,1
42,59,55,reverse,105.0,0.0,105.0,1
47,61,280,forward,7858.0,7645.19,212.81,0
50,64,63,forward,146.0,0.0,146.0,1
50,63,64,reverse,146.0,0.0,146.0,1
51,69,305,forward,148.5,229.54,-81.04,1
51,305,69,reverse,148.5,229.54,-81.04,1
52,70,306,forward,11272.0,7046.77,4225.23,0
53,71,235,forward,81.0,55.71,25.29,1
53,235,71,reverse,81.0,55.71,25.29,1
55,73,201,forward,850.0,1036.49,-186.49,1
55,201,73,reverse,850.0,1036.49,-186.49,1
57,75,192,forward,439.5,607.24,-167.74,1
57,192,75,reverse,439.5,607.24,-167.74,1
58,76,193,forward,137.0,0.0,137.0,1
58,193,76,reverse,137.0,0.0,137.0,1
59,77,190,forward,37.0,0.0,37.0,1
59,190,77,reverse,37.0,0.0,37.0,1
60,78,80,forward,172.5,1084.53,-912.03,1
60,80,78,reverse,172.5,1084.53,-912.03,1
62,80,8,forward,2014.0,1084.53,929.47,1
62,8,80,reverse,2014.0,1084.53,929.47,1
64,83,169,forward,5289.0,2398.51,2890.49,0
65,84,201,forward,217.5,0.0,217.5,1
65,201,84,reverse,217.5,0.0,217.5,1
66,85,191,forward,143.5,0.0,143.5,1
66,191,85,reverse,143.5,0.0,143.5,1
67,86,37,forward,11603.0,8312.8,3290.2,0
71,90,91,forward,5098.0,6226.35,-1128.35,1
71,91,90,reverse,5098.0,6226.35,-1128.35,1
73,92,212,forward,532.5,268.93,263.57,1
73,212,92,reverse,532.5,268.93,263.57,1
75,94,323,forward,154.5,0.0,154.5,1
75,323,94,reverse,154.5,0.0,154.5,1
77,96,312,forward,1115.0,1433.78,-318.78,1
77,312,96,reverse,1115.0,1433.78,-318.78,1
79,98,325,forward,7849.0,4399.9,3449.1,0
81,101,174,forward,64.5,0.0,64.5,1
81,174,101,reverse,64.5,0.0,64.5,1
83,103,20,forward,9127.0,2398.51,6728.49,0
84,104,19,forward,1444.0,1154.66,289.34,1
84,19,104,reverse,1444.0,1154.66,289.34,1
90,111,16,forward,10884.0,11665.91,-781.91,0
92,113,162,forward,2628.5,2675.56,-47.06,1
92,162,113,reverse,2628.5,2675.56,-47.06,1
94,114,12,forward,624.5,594.96,29.54,1
94,12,114,reverse,624.5,594.96,29.54,1
97,117,22,forward,240.0,124.78,115.22,1
97,22,117,reverse,240.0,124.78,115.22,1
98,119,222,forward,90.5,0.0,90.5,1
98,222,119,reverse,90.5,0.0,90.5,1
99,120,223,forward,43.0,0.0,43.0,1
99,223,120,reverse,43.0,0.0,43.0,1
100,121,225,forward,82.0,0.0,82.0,1
100,225,121,reverse,82.0,0.0,82.0,1
103,124,228,forward,192.0,0.0,192.0,1
103,228,124,reverse,192.0,0.0,192.0,1
104,125,124,forward,86.5,0.0,86.5,1
104,124,125,reverse,86.5,0.0,86.5,1
112,131,109,forward,1830.5,1700.82,129.68,1
112,109,131,reverse,1830.5,1700.82,129.68,1
122,139,14,forward,2218.0,2211.14,6.86,1
122,14,139,reverse,2218.0,2211.14,6.86,1
130,144,108,forward,811.5,560.5,251.0,1
130,108,144,reverse,811.5,560.5,251.0,1
133,145,106,forward,118.5,0.0,118.5,1
133,106,145,reverse,118.5,0.0,118.5,1
134,145,105,forward,432.5,469.53,-37.03,1
134,105,145,reverse,432.5,469.53,-37.03,1
135,146,18,forward,365.5,292.26,73.24,1
135,18,146,reverse,365.5,292.26,73.24,1
144,152,9,forward,10250.0,10359.84,-109.84,0
145,153,107,forward,659.0,469.53,189.47,1
145,107,153,reverse,659.0,469.53,189.47,1
146,153,10,forward,89.0,90.97,-1.97,1
146,10,153,reverse,89.0,90.97,-1.97,1
153,158,115,forward,2501.0,2531.87,-30.87,1
153,115,158,reverse,2501.0,2531.87,-30.87,1
162,164,130,forward,13415.0,12956.98,458.02,0
163,165,79,forward,5770.0,2217.64,3552.36,0
174,172,199,forward,1009.0,2398.51,-1389.51,0
183,180,112,forward,357.5,0.0,357.5,1
183,112,180,reverse,357.5,0.0,357.5,1
184,180,15,forward,4501.5,4501.42,0.08,1
184,15,180,reverse,4501.5,4501.42,0.08,1
205,196,126,forward,183.5,607.24,-423.74,1
205,126,196,reverse,183.5,607.24,-423.74,1
206,196,95,forward,1114.5,607.24,507.26,1
206,95,196,reverse,1114.5,607.24,507.26,1
212,200,82,forward,127.5,0.0,127.5,1
212,82,200,reverse,127.5,0.0,127.5,1
223,208,90,forward,4411.5,6226.35,-1814.85,1
223,90,208,reverse,4411.5,6226.35,-1814.85,1
225,209,99,forward,7932.0,3846.35,4085.65,0
235,214,93,forward,1377.0,1647.52,-270.52,1
235,93,214,reverse,1377.0,1647.52,-270.52,1
238,216,97,forward,196.0,0.0,196.0,1
